Product_id,Review_count,Average_sentiment
31,10,1.0
949,10,1.0
1,10,0.9
73,10,0.9
251,10,0.9
523,10,0.9
535,10,0.9
561,10,0.9
566,10,0.9
716,10,0.9
91,10,0.8
114,10,0.8
141,10,0.8
193,10,0.8
228,10,0.8
232,10,0.8
312,10,0.8
333,10,0.8
415,10,0.8
436,10,0.8
505,10,0.8
518,10,0.8
596,10,0.8
618,10,0.8
688,10,0.8
711,10,0.8
715,10,0.8
744,10,0.8
751,10,0.8
759,10,0.8
935,10,0.8
947,10,0.8
1040,10,0.8
1062,10,0.8
1090,10,0.8
1092,10,0.8
1105,10,0.8
1173,10,0.8
15,10,0.7
52,10,0.7
53,10,0.7
60,10,0.7
68,10,0.7
77,10,0.7
83,10,0.7
100,10,0.7
111,10,0.7
125,10,0.7
142,10,0.7
153,10,0.7
158,10,0.7
171,10,0.7
184,10,0.7
198,10,0.7
237,10,0.7
240,10,0.7
243,10,0.7
254,10,0.7
273,10,0.7
284,10,0.7
295,10,0.7
299,10,0.7
300,10,0.7
306,10,0.7
316,10,0.7
319,10,0.7
324,10,0.7
357,10,0.7
358,10,0.7
374,10,0.7
393,10,0.7
394,10,0.7
424,10,0.7
433,10,0.7
449,10,0.7
454,10,0.7
472,10,0.7
473,10,0.7
476,10,0.7
480,10,0.7
484,10,0.7
495,10,0.7
500,10,0.7
507,10,0.7
532,10,0.7
544,10,0.7
551,10,0.7
552,10,0.7
563,10,0.7
592,10,0.7
614,10,0.7
617,10,0.7
643,10,0.7
652,10,0.7
681,10,0.7
713,10,0.7
727,10,0.7
758,10,0.7
761,10,0.7
785,10,0.7
791,10,0.7
811,10,0.7
821,10,0.7
851,10,0.7
862,10,0.7
883,10,0.7
886,10,0.7
918,10,0.7
922,10,0.7
945,10,0.7
960,10,0.7
976,10,0.7
983,10,0.7
1000,10,0.7
1012,10,0.7
1013,10,0.7
1022,10,0.7
1104,10,0.7
1130,10,0.7
1146,10,0.7
1162,10,0.7
1176,10,0.7
1183,10,0.7
1187,10,0.7
1197,10,0.7
1198,10,0.7
1200,10,0.7
1204,10,0.7
1215,10,0.7
3,10,0.6
7,10,0.6
8,10,0.6
44,10,0.6
58,10,0.6
66,10,0.6
75,10,0.6
78,10,0.6
97,10,0.6
101,10,0.6
110,10,0.6
123,10,0.6
124,10,0.6
127,10,0.6
130,10,0.6
131,10,0.6
139,10,0.6
145,10,0.6
148,10,0.6
149,10,0.6
155,10,0.6
156,10,0.6
157,10,0.6
164,10,0.6
176,10,0.6
179,10,0.6
180,10,0.6
181,10,0.6
183,10,0.6
199,10,0.6
200,10,0.6
202,10,0.6
214,10,0.6
218,10,0.6
222,10,0.6
227,10,0.6
238,10,0.6
246,10,0.6
247,10,0.6
250,10,0.6
253,10,0.6
255,10,0.6
257,10,0.6
261,10,0.6
264,10,0.6
272,10,0.6
286,10,0.6
292,10,0.6
307,10,0.6
315,10,0.6
321,10,0.6
329,10,0.6
336,10,0.6
338,10,0.6
346,10,0.6
353,10,0.6
360,10,0.6
367,10,0.6
375,10,0.6
386,10,0.6
387,10,0.6
398,10,0.6
402,10,0.6
404,10,0.6
413,10,0.6
414,10,0.6
425,10,0.6
429,10,0.6
430,10,0.6
431,10,0.6
434,10,0.6
448,10,0.6
453,10,0.6
459,10,0.6
461,10,0.6
483,10,0.6
486,10,0.6
488,10,0.6
492,10,0.6
493,10,0.6
501,10,0.6
515,10,0.6
528,10,0.6
542,10,0.6
545,10,0.6
558,10,0.6
567,10,0.6
570,10,0.6
573,10,0.6
582,10,0.6
589,10,0.6
590,10,0.6
601,10,0.6
606,10,0.6
621,10,0.6
623,10,0.6
625,10,0.6
631,10,0.6
637,10,0.6
638,10,0.6
649,10,0.6
651,10,0.6
659,10,0.6
661,10,0.6
666,10,0.6
671,10,0.6
673,10,0.6
674,10,0.6
678,10,0.6
683,10,0.6
685,10,0.6
690,10,0.6
734,10,0.6
746,10,0.6
762,10,0.6
776,10,0.6
778,10,0.6
847,10,0.6
858,10,0.6
864,10,0.6
873,10,0.6
879,10,0.6
882,10,0.6
887,10,0.6
891,10,0.6
893,10,0.6
903,10,0.6
905,10,0.6
910,10,0.6
916,10,0.6
920,10,0.6
921,10,0.6
