Product_id,Review,Review_rating
14, A complete review of the shoe after it's use., 3.0 out of 5 stars
14, Gud for price, 3.0 out of 5 stars
14, Satisfying at this price..., 4.0 out of 5 stars
15,Nice shose but. defctive material send me.,2.0 out of 5 stars
15, Bad Quality, 1.0 out of 5 stars
15, Awesome Shoes, 5.0 out of 5 stars
15, I dont like thik, 2.0 out of 5 stars
15, Very very disastrous quality, 1.0 out of 5 stars
15, Nice Shoes, 5.0 out of 5 stars
15, Hard top, 2.0 out of 5 stars
15, Bad quantity, 1.0 out of 5 stars
15, Very bad quality product Don't buy!!, 1.0 out of 5 stars
15, Junaid khan, 5.0 out of 5 stars
16,Poor Build quality avoid it,1.0 out of 5 stars
16, My Views, 5.0 out of 5 stars
16, Use and throw product., 4.0 out of 5 stars
16, Value for money., 5.0 out of 5 stars
16, Budget Loafer for Mens, 5.0 out of 5 stars
16, Awesome product ❤, 5.0 out of 5 stars
16, Kinda ok for specific purpose, 4.0 out of 5 stars
16, Good product, 5.0 out of 5 stars
16, Paisa vasul product..., 5.0 out of 5 stars
16, Elegance with Economy, 4.0 out of 5 stars
17,Quality..is Bad..,1.0 out of 5 stars
17, Best according to price, 5.0 out of 5 stars
17, Best for this price, 4.0 out of 5 stars
17, Wrost product and so high price, 1.0 out of 5 stars
17, Pasting not good, 3.0 out of 5 stars
17, Price wise its good, 4.0 out of 5 stars
17, Before buying just read the comments., 5.0 out of 5 stars
17, Attractive, 5.0 out of 5 stars
17, Must buy.. Value for money, 3.0 out of 5 stars
17, Review, 3.0 out of 5 stars
18,Quality is not good  and size is not ok delivered.,1.0 out of 5 stars
18, On time delivered, 5.0 out of 5 stars
18, Worthy product, 5.0 out of 5 stars
18, This quality is very good 👍, 4.0 out of 5 stars
18, Shoes, 4.0 out of 5 stars
18, Poor quality, 1.0 out of 5 stars
18, Bad products, 1.0 out of 5 stars
18, Very waste, 1.0 out of 5 stars
18, Quality, 3.0 out of 5 stars
19,It's good product in budget,5.0 out of 5 stars
19, Nice quality 🙂, 4.0 out of 5 stars
19, Good, 4.0 out of 5 stars
19, Too good, 5.0 out of 5 stars
20,Looking good but product is not so good,3.0 out of 5 stars
20, Wrost product !, 2.0 out of 5 stars
20, Excellent, 5.0 out of 5 stars
20, Recommended, 5.0 out of 5 stars
20, Its nice, 4.0 out of 5 stars
20, Nice 🙂 product, 5.0 out of 5 stars
20, Nice colours, 4.0 out of 5 stars
20, Extra Low quality shoes, 1.0 out of 5 stars
20, Good product value of money, 5.0 out of 5 stars
20, Worth it, 5.0 out of 5 stars
21,Buy one size less than your normal size.,5.0 out of 5 stars
21, Paisa wasool ........., 5.0 out of 5 stars
21, Superb!!, 5.0 out of 5 stars
21, Too much offence to bought this product, 1.0 out of 5 stars
21, Perfect fit and good matetial, 4.0 out of 5 stars
21, Foot wear not worth.., 1.0 out of 5 stars
21, Bata rainy shies, 5.0 out of 5 stars
21, Go for it, 4.0 out of 5 stars
21, Buy one size small., 3.0 out of 5 stars
21, Very comfortable, 4.0 out of 5 stars
22,Low cost but not upto my expectations,3.0 out of 5 stars
22, Best product for its price and quality, 5.0 out of 5 stars
22, Excellent Value for Money, 5.0 out of 5 stars
22, Classy flip flops in cheap rate, 5.0 out of 5 stars
22, Cheap decent slippers, 5.0 out of 5 stars
22, 1 Star Received damaged pair. 5 stars for the Product., 1.0 out of 5 stars
22, Very Bad Product after being Amazon's Choice, 2.0 out of 5 stars
22, Regular user @home, 4.0 out of 5 stars
22, 😂Extra Lasting / Long Lasting but NOT Everlasting😘, 4.0 out of 5 stars
22, Good for rough and tough use, 5.0 out of 5 stars
23,This is copy not original Aqualite,2.0 out of 5 stars
23, Comfort  Light weight, 4.0 out of 5 stars
23, Does the job, 4.0 out of 5 stars
23, Very nice product, 5.0 out of 5 stars
23, Ok bad ok, 3.0 out of 5 stars
23, Haa thek hi h ok ok, 3.0 out of 5 stars
23, Unequal sole thickness of the sandal., 2.0 out of 5 stars
23, Pathetic, 1.0 out of 5 stars
23, Good Product, 4.0 out of 5 stars
23, Value for money, 5.0 out of 5 stars
24,I like it,5.0 out of 5 stars
24, For regular use and economic, 5.0 out of 5 stars
24, Good, 5.0 out of 5 stars
24, Comfortable😊, 5.0 out of 5 stars
24, Rate, 1.0 out of 5 stars
24, Its not long lasting, 1.0 out of 5 stars
25,Cheap price cheap quality. Didn't last 10 days.,1.0 out of 5 stars
25, Elegant and lightweight, 5.0 out of 5 stars
25, Service is good so far., 4.0 out of 5 stars
25, Fit, 4.0 out of 5 stars
26,Value for Money,5.0 out of 5 stars
27,User review,1.0 out of 5 stars
27, Totally worthy product . I Loved it., 5.0 out of 5 stars
28,Not Satisfied,1.0 out of 5 stars
28, Not worth the money, 1.0 out of 5 stars
28, बहुत ही खराब सामान, 2.0 out of 5 stars
28, okay but hard sole, 2.0 out of 5 stars
28, Pathetic shoe. Uncomfortable., 1.0 out of 5 stars
28, Uncomfortable Cheap & Forgettable, 1.0 out of 5 stars
28, DONT BUY, 1.0 out of 5 stars
28, It's not comfortable, 2.0 out of 5 stars
28, Third Class Product Don't Buy Waste Of Money..., 2.0 out of 5 stars
28, Nice product, 4.0 out of 5 stars
29,Centrino is a brand you can trust,5.0 out of 5 stars
29, I'm not disappointed, 3.0 out of 5 stars
29, Ok ok, 3.0 out of 5 stars
29, Very poor quality don't buy., 1.0 out of 5 stars
29, Replacement policy, 1.0 out of 5 stars
29, Very nice pair of shoe, 5.0 out of 5 stars
29, Centrino Mens Formal Shoes, 4.0 out of 5 stars
29, Great product at a budget price, 5.0 out of 5 stars
29, Good looking shoes size is awkwardly long, 3.0 out of 5 stars
29, Great one, 5.0 out of 5 stars
30,Great Style Shoes 👟 Must Buy 🙂,5.0 out of 5 stars
30, Best at 354, 5.0 out of 5 stars
30, Good One, 4.0 out of 5 stars
30, Undoubtedly one of the best from Sparx., 5.0 out of 5 stars
30, Such a beauty, 4.0 out of 5 stars
30, Quality product., 5.0 out of 5 stars
30, Nice Sneaker, 4.0 out of 5 stars
30, not satisfied, 1.0 out of 5 stars
30, Thank you amazon, 5.0 out of 5 stars
30, Best IN This Price, 5.0 out of 5 stars
31,Happy with the product,5.0 out of 5 stars
31, Mind blowing, 5.0 out of 5 stars
31, Good👍, 4.0 out of 5 stars
